timestamp,ingested_at,source_api,source_name,url,headline,summary,sector,ticker,entities,sentiment,sentiment_label,macro_tag,market_impact_score
2026-04-23T18:08:51.000000Z,2026-04-23T18:34:36.732578Z,marketaux,benzinga.com,https://www.benzinga.com/markets/equities/26/04/52011986/whats-going-on-with-accenture-stock-today-4,What's Going On With Accenture Stock Today? - Accenture (NYSE:ACN),Accenture stock slips as AI investment in Iridius and a cautious outlook fail to offset weak momentum and investor concerns.,equities,ACN,"[""ACN""]",0.144963,positive,,
2026-04-23T18:07:23.000000Z,2026-04-23T18:34:36.732650Z,marketaux,thestockmarketwatch.com,https://www2.stockmarketwatch.com/stock-market-news/volatility-spikes-as-tech-drags-nasdaq-lower-energy-surges-amid-rising-oil-prices/61221/,Volatility Spikes as Tech Drags Nasdaq Lower; Energy Surges Amid Rising Oil Prices,"The U.S. equity markets are experiencing a bout of heightened volatility this Thursday, April 23, 2026, as investors navigate a complex landscape of corporate",energy,^MSOS-IV,"[""^MSOS-IV"", ""^MSOS-TC"", ""^MSOS-EU"", ""^MSOS-NV"", ""^XLE-TC""]",0.16072110240986867,positive,,
2026-04-23T18:01:37.000000Z,2026-04-23T18:34:36.732687Z,marketaux,seekingalpha.com,https://seekingalpha.com/article/4893402-centerpoint-energy-inc-cnp-q1-2026-earnings-call-transcript,"CenterPoint Energy, Inc. (CNP) Q1 2026 Earnings Call Transcript","CenterPoint Energy, Inc. (CNP) Q1 2026 Earnings Call April 23, 2026 8:00 AM EDTCompany ParticipantsBen VallejoJason Wells - President, CEO &...",energy,CNP,"[""CNP"", ""CNP-PB""]",0.0,neutral,earnings,
2026-04-23T17:41:52Z,2026-04-23T18:34:37.193349Z,finnhub,Reuters,https://news.google.com/rss/articles/CBMivgFBVV95cUxOeUpzTlRZSk1uVnYyNFVfeEQzQjBuSV9yNXdyaUNMWlZ1WVdtakJGZk5tV0JrSE1uc3U2OTRwRmhNd29yNU5kLWg4Qkg5V2JmdDQ1ZS1kalpGQ0tieURhbHpFODRBOTJiYkNOazRSNEprc1VfenpvTE5rVlQ1NjlpT3VSTmppSlpLbXJsbTJNT0F4bG9ibE5VZGVzZ0FmamZKUzB5Z3pfSlRvY1UwUXhBRmQycjBmWkxCTEFvNXBR?oc=5,Iran's Mehr says air defences heard 'engaging hostile targets' in Tehran - Reuters,Iran's Mehr says air defences heard 'engaging hostile targets' in Tehran  Reuters,macro,,[],,,,
2026-04-23T17:32:34Z,2026-04-23T18:34:37.193407Z,finnhub,CNBC,https://www.cnbc.com/2026/04/23/new-grads-are-finding-jobs-faster-despite-a-competitive-job-market-says-report.html,"New grads are finding jobs faster despite a competitive job market, says report","New grads are finding jobs faster despite a competitive job market, especially in these fields, according to a report from ZipRecruiter.",macro,,[],,,,
2026-04-23T14:45:33Z,2026-04-23T18:34:37.193519Z,finnhub,Reuters,https://news.google.com/rss/articles/CBMinAFBVV95cUxPelE3elMyVFA1RDlYSnYxOUN1WHlCQlVsWWRmUlluNDFtYTdvRU1xRnpLUGNYbGRIM0RXT1BmdVNCVEVVMkdrdFdjUU0yZDVXdGRrU3dFLWY3RGtjR1FpNU1iNWt0Z184RFpSQ0tmNzFyZXZkM3pUb19TeUFiZFpSVFZEY0pSX3M0SXVhdmVhQ3VjczNBblRlZ3RBd3k?oc=5,Son of former Shah of Iran appeals to Western countries for support - Reuters,Son of former Shah of Iran appeals to Western countries for support  Reuters,macro,,[],,,,
2026-04-23T18:27:37Z,2026-04-23T18:34:37.857249Z,finnhub,Forexlive,https://investinglive.com/news/trump-says-hes-not-anxious-to-end-the-war-he-has-all-the-time-in-the-world-20260423/,"Trump says he's not anxious to end the war, he has all the time in the world","<p>I'm not sure if this is reflective of Trump doing his usual raging at the media or a sign that he's increasingly hawkish. The market hasn't taken it badly.</p><blockquote>For those people, fewer in number now than ever before, that are reading
 The Failing New York Times, or watching Fake News CNN, that think that I
 am “anxious” to end the War (if you would even call it that!) with 
Iran, please be advised that I am possibly the least pressured person 
ever to be in this position. I have all",macro,,[],,,,
2026-04-23T16:40:49Z,2026-04-23T18:34:38.530533Z,finnhub,Cointelegraph,https://cointelegraph.com/markets/these-3-ethereum-metrics-favor-eth-price-rally-to-6k?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,These 3 Ethereum metrics favor an ETH price rally to $6K,"Ethereum signalled a potential rally to $6,000 as bullish technicals, tightening supply, and rising institutional demand are starting to look like major tailwinds.",crypto,,[],,,,
2026-04-23T16:30:00Z,2026-04-23T18:34:38.530566Z,finnhub,CoinDesk,https://www.coindesk.com/opinion/2026/04/23/the-market-repriced-defi-in-just-48-hours,The market repriced DeFi in just 48 hours,,crypto,,[],,,,
2026-04-23T17:00:00Z,2026-04-23T18:34:39.206275Z,finnhub,BusinessWire,http://www.businesswire.com/news/home/20260416894377/en/Inszone-Insurance-Services-Acquires-James-R.-Vozar-Insurance-Agency-Expanding-Footprint-and-Agricultural-Expertise-in-Michigan/?feedref=JjAwJuNHiystnCoBq_hl-Rc4vIAVcHHkbDcwJimU8QtrtlakeQ9hNboBqTAWIjTge3KWq9s9jif-UkBjBsFRyYAbRTSLTc1mgvhPlnaBA55M-oupQnbXnhKsYk8RmHF_kAy2gZikaX3QWV6xOvgFlA==,"Inszone Insurance Services Acquires James R. Vozar Insurance Agency, Expanding Footprint and Agricultural Expertise in Michigan","SACRAMENTO, Calif.--(BUSINESS WIRE)-- #agencyacquisition--Inszone Insurance Services, a rapidly growing national provider of commercial, personal, and benefits insurance, is pleased to announce the acquisition of James R. Vozar Insurance Agency. With offices in Athens, Quincy, and Union City, Michigan, this acquisition further strengthens Inszone's presence in the Midwest and adds deep specialized knowledge in the agricultural sector to its portfolio. Founded in 1969 by James R. Vozar, the agenc",macro,,[],,,,
