date,temp_mean,hdd,cdd,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,city_count,temp_anom
2000-01-01,28.403414618535585,1128.4111111111113,0.2333333333333335,1.9775,8.444444444444445,0.08333333333333333,25.284444444444446,0.0,25.416666666666668,17.108478883389278,58.328203405017916,36,-0.9363109397141329
2000-02-01,34.32150205761317,887.9305555555555,0.0,2.6063888888888886,9.583333333333334,0.3055555555555556,23.279722222222222,0.0,21.22222222222222,14.718969064850292,58.19129416773095,36,2.5873113328580715
2000-03-01,45.29630987292278,607.0472222222222,0.8555555555555558,4.1825,9.277777777777779,1.0,0.1311111111111111,0.0,9.694444444444445,16.047405506679702,50.98432714239166,36,5.136081263954601
2000-04-01,50.25037037037037,443.4861111111111,0.997222222222222,3.7122222222222225,11.13888888888889,0.5555555555555556,0.37166666666666665,0.0,3.861111111111111,15.663796296296296,63.689629629629636,36,-1.753628961311584
2000-05-01,62.849820788530465,135.89999999999998,69.24444444444445,4.236111111111111,11.472222222222221,0.75,0.0,0.6944444444444444,0.0,14.560752688172041,53.352598566308245,36,0.9066169354970555
2000-06-01,69.78457264957265,34.363888888888894,177.08055555555555,5.137777777777778,13.472222222222221,1.0555555555555556,0.0,1.1388888888888888,0.0,13.6327849002849,54.877884615384616,36,-0.18951198536667846
2000-07-01,69.79793906810036,7.827777777777778,156.56388888888887,4.460555555555556,11.277777777777779,1.1666666666666667,0.0,0.1111111111111111,0.0,11.163799283154122,53.73136200716846,36,-4.156004867102126
2000-08-01,69.99480286738351,13.877777777777778,168.71666666666664,4.2675,11.583333333333334,1.1666666666666667,0.0,0.3333333333333333,0.0,11.457616487455198,54.31021505376344,36,-2.392371378773632
2000-09-01,62.6794586894587,149.425,80.46944444444445,5.185,10.694444444444445,1.4166666666666667,0.0,0.0,0.08333333333333333,11.93394586894587,46.39890313390313,36,-3.159210461769405
2000-10-01,54.0146266427718,342.375,3.2361111111111107,1.7691666666666666,5.944444444444445,0.16666666666666666,0.0,0.0,1.1111111111111112,11.776426011264721,39.326580687830685,36,-0.3935622990240404
2000-11-01,41.0891446923597,716.685294117647,0.0,2.005294117647059,7.5588235294117645,0.08823529411764706,0.0,0.0,11.558823529411764,14.350831643002028,61.948269100743744,34,-2.5976848138038733
2000-12-01,25.721726755218214,1217.6264705882352,0.0,2.791764705882353,7.323529411764706,0.7352941176470589,6.33735294117647,0.0,29.794117647058822,15.67751423149905,59.47039848197343,34,-8.79926546391637
