date,temp_mean,hdd,cdd,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,city_count,temp_anom
2000-01-01,21.127419354838707,1360.05,0.0,0.4225,2.75,0.0,16.7325,0.0,31.0,18.488709677419354,42.53629032258065,4,1.1870564516129
2000-02-01,30.800862068965515,991.775,0.0,0.775,3.5,0.0,6.3475,0.0,24.25,18.82844827586207,41.79310344827586,4,9.633232758620686
2000-03-01,39.53548387096774,789.4,0.0,1.8074999999999999,4.5,0.5,2.8874999999999997,0.0,22.5,20.108064516129033,39.21935483870968,4,5.645395161290317
2000-04-01,45.78666666666667,576.4,0.0,3.6975,7.75,0.5,6.3975,0.0,13.25,22.08,43.88666666666667,4,-0.30885119047619014
2000-05-01,58.93709677419355,210.475,22.525000000000006,3.885,11.0,0.75,0.0,0.25,0.5,20.817741935483873,39.332258064516125,4,1.6682661290322613
2000-06-01,65.66916666666667,81.2,101.27499999999999,2.6675,10.5,0.25,0.0,2.5,0.0,20.398333333333333,31.205,4,-2.3050833333333287
2000-07-01,73.2741935483871,15.749999999999998,272.25,2.4825,8.0,1.0,0.0,7.25,0.0,16.936290322580646,27.033870967741937,4,-1.151818548387098
2000-08-01,72.80887096774194,6.275000000000004,248.34999999999997,2.2775,5.5,0.5,0.0,7.75,0.0,18.220967741935485,23.371774193548386,4,1.7125000000000057
2000-09-01,62.4275,152.625,75.44999999999999,0.6875,3.5,0.0,0.0,4.0,2.25,17.92,24.511666666666667,4,-0.2740277777777749
2000-10-01,50.76693548387097,441.79999999999995,0.5749999999999993,1.3575,7.25,0.0,0.0,0.0,4.25,16.93225806451613,46.0241935483871,4,2.925086021505372
2000-11-01,25.700000000000003,1179.0,0.0,1.6625,7.0,0.5,39.567499999999995,0.0,27.0,20.243333333333332,49.8025,4,-8.642088704159818
2000-12-01,10.958870967741937,1675.2749999999999,0.0,0.1275,2.0,0.0,39.2275,0.0,31.0,20.281451612903226,57.61532258064516,4,-10.983425615101435
2001-01-01,22.845967741935485,1306.775,0.0,0.5275,3.25,0.0,38.980000000000004,0.0,30.5,17.929032258064517,36.729838709677416,4,2.905604838709678
2001-02-01,13.295535714285712,1447.7250000000001,0.0,0.33999999999999997,3.5,0.0,82.715,0.0,27.75,18.75892857142857,46.85892857142857,4,-7.872093596059116
2001-03-01,29.63467741935484,1096.325,0.0,0.39,3.25,0.0,43.125,0.0,28.5,16.814516129032256,42.193548387096776,4,-4.255411290322581
2001-04-01,47.4825,536.8,11.275000000000002,3.6425,8.25,1.0,5.5775,0.0,7.0,21.7475,46.468333333333334,4,1.3869821428571427
2001-05-01,58.96612903225807,207.475,20.425,2.1475,9.25,0.0,0.0,1.0,0.0,20.213709677419356,41.96612903225807,4,1.6972983870967795
2001-06-01,67.67416666666666,70.55,150.775,3.2024999999999997,9.25,0.75,0.0,4.0,0.0,19.034166666666668,30.598333333333336,4,-0.30008333333333326
2001-07-01,75.69193548387096,7.350000000000001,338.79999999999995,3.675,8.5,1.0,0.0,9.25,0.0,17.905645161290323,26.535483870967745,4,1.2659233870967626
2001-08-01,74.60080645161291,2.4750000000000014,300.09999999999997,0.9500000000000001,4.0,0.0,0.0,10.75,0.0,16.947580645161292,19.205645161290324,4,3.504435483870978
2001-09-01,62.97416666666667,136.275,75.5,1.5825,5.25,0.0,0.0,2.5,0.0,16.958333333333332,31.4925,4,0.272638888888892
2001-10-01,48.350806451612904,520.375,4.25,0.8875,4.75,0.0,0.0,0.0,7.5,20.87338709677419,31.479032258064517,4,0.5089569892473094
2001-11-01,41.61833333333334,701.45,0.0,1.4725,3.5,0.75,15.432500000000001,0.0,12.25,17.354166666666668,31.845000000000002,4,7.276244629173519
2001-12-01,26.10483870967742,1205.75,0.0,0.02,0.5,0.0,9.1325,0.0,29.75,18.225,32.950806451612905,4,4.1625421268340475
2002-01-01,25.861290322580647,1213.3000000000002,0.0,0.145,0.75,0.0,3.245,0.0,28.0,17.920161290322582,40.8491935483871,4,5.92092741935484
2002-02-01,29.904464285714283,982.6750000000001,0.0,0.10999999999999999,1.75,0.0,2.9499999999999997,0.0,26.25,21.579464285714288,28.193749999999998,4,8.736834975369455
2002-03-01,23.092741935483872,1299.125,0.0,0.775,5.0,0.0,32.1175,0.0,29.5,19.48951612903226,46.46209677419355,4,-10.79734677419355
2002-04-01,45.86666666666666,581.725,7.724999999999998,1.8225,6.25,0.25,1.28,0.0,10.75,22.03,44.0675,4,-0.22885119047619895
2002-05-01,54.105645161290326,369.475,31.749999999999996,1.495,8.25,0.25,0.0,1.0,4.5,20.92661290322581,37.651612903225804,4,-3.1631854838709614
2002-06-01,72.11749999999999,28.400000000000006,241.925,1.745,8.75,0.0,0.0,8.75,0.0,19.134166666666665,29.380833333333335,4,4.143249999999995
2002-07-01,78.24147849462366,0.27500000000000036,407.09999999999997,1.635,6.0,0.5,0.0,17.5,0.0,18.40491935483871,23.620887096774194,4,3.8154663978494625
2002-08-01,70.90806451612903,11.550000000000002,194.7,4.577500000000001,9.25,1.75,0.0,4.0,0.0,19.320967741935483,36.075806451612905,4,-0.1883064516129025
2002-09-01,63.505833333333335,155.85000000000002,111.025,1.595,7.25,0.25,0.0,4.5,0.25,18.27583333333333,34.52666666666667,4,0.8043055555555583
2002-10-01,40.59193548387097,756.6499999999999,0.0,2.055,9.5,0.5,7.897499999999999,0.0,13.5,17.608870967741936,61.61774193548387,4,-7.249913978494625
2002-11-01,35.39839285714286,875.1999999999999,0.0,0.09250000000000001,1.0,0.0,3.05,0.0,23.75,18.70547619047619,40.72732142857143,4,1.0563041529830386
2002-12-01,27.79277073732719,1128.95,0.0,0.10750000000000001,2.25,0.0,1.18,0.0,27.75,16.791388248847927,37.53827764976958,4,5.850474154483816
2003-01-01,20.576612903225808,1377.125,0.0,0.2975,4.5,0.0,8.165,0.0,30.25,19.025806451612905,53.54758064516129,4,0.6362500000000004
2003-02-01,19.29017857142857,1279.875,0.0,0.46,3.5,0.0,14.892500000000002,0.0,27.25,18.475892857142856,44.08392857142857,4,-1.8774507389162594
2003-03-01,32.465483870967745,999.5,0.0,0.6025,4.0,0.0,7.3675,0.0,20.5,20.539301075268817,48.403440860215056,4,-1.4246048387096764
2003-04-01,48.50083333333333,501.975,7.0,2.6825,9.25,0.25,2.625,0.25,7.0,19.833333333333332,46.85,4,2.4053154761904736
2003-05-01,56.288709677419355,282.20000000000005,12.150000000000002,2.745,10.75,0.25,0.0,0.25,0.75,19.33790322580645,45.85645161290323,4,-0.9801209677419322
2003-06-01,65.43833333333333,84.75,97.9,3.73,13.5,0.5,0.0,0.75,0.0,18.0275,42.2875,4,-2.5359166666666653
2003-07-01,75.39516129032258,0.0,322.25,1.96,6.75,0.5,0.0,10.25,0.0,18.185483870967744,20.06048387096774,4,0.9691491935483754
2003-08-01,75.23064516129031,11.625,328.775,1.71,5.25,0.5,0.0,12.25,0.0,16.592741935483872,18.67258064516129,4,4.134274193548379
2003-09-01,60.9475,193.175,71.6,2.7500000000000004,6.75,0.5,0.0,2.5,0.25,19.173333333333332,29.568333333333335,4,-1.7540277777777789
