date,temp_mean,hdd,cdd,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,city_count,temp_anom
2000-01-01,18.86236559139785,1430.2666666666664,0.0,2.9066666666666663,14.0,0.3333333333333333,203.57000000000002,0.0,28.666666666666668,13.040860215053764,69.18924731182796,3,-4.048010752688175
2000-02-01,29.145977011494253,1039.7666666666667,0.0,1.7133333333333332,7.0,0.3333333333333333,250.75,0.0,22.333333333333332,10.185057471264367,61.92413793103449,3,3.011917077175699
2000-03-01,33.11720430107527,988.3666666666668,0.0,3.9000000000000004,11.666666666666666,1.0,219.72333333333336,0.0,21.0,12.81720430107527,67.31075268817204,3,3.050306451612901
2000-04-01,39.95444444444445,751.3666666666667,0.0,2.38,9.333333333333334,0.3333333333333333,61.51666666666667,0.0,13.0,12.496666666666668,60.693333333333335,3,-0.13905555555555082
2000-05-01,47.61612903225807,538.9000000000001,0.0,1.9333333333333336,9.0,0.0,0.0,0.0,1.6666666666666667,12.19462365591398,60.34838709677419,3,-1.9953763440860115
2000-06-01,55.48777777777777,285.36666666666673,0.0,2.223333333333333,11.666666666666666,0.0,0.0,0.0,0.0,11.348888888888888,66.02444444444444,3,-0.42111111111110944
2000-07-01,57.03548387096774,247.26666666666665,0.36666666666666475,4.16,18.333333333333332,0.0,0.0,0.0,0.0,10.04516129032258,82.9236559139785,3,-1.884946236559145
2000-08-01,55.04408602150537,308.63333333333327,0.0,5.909999999999999,19.333333333333332,0.6666666666666666,0.0,0.0,0.0,10.448387096774193,72.69139784946236,3,-2.164946236559146
2000-09-01,48.12222222222223,506.3333333333333,0.0,6.81,19.666666666666668,1.3333333333333333,0.0,0.0,3.0,11.160000000000002,65.42333333333333,3,-1.866499999999995
2000-10-01,38.54623655913978,820.0666666666667,0.0,5.0,13.333333333333334,1.0,5.14,0.0,11.333333333333334,12.652043010752687,66.43548387096774,3,-1.4503225806451638
2000-11-01,32.558888888888895,973.2333333333332,0.0,3.7300000000000004,11.666666666666666,0.6666666666666666,7.956666666666666,0.0,18.666666666666668,11.39126984126984,55.43555555555556,3,4.385111111111115
2000-12-01,26.069892473118276,1206.8333333333333,0.0,1.6966666666666665,8.0,0.3333333333333333,35.336666666666666,0.0,27.0,11.70371863799283,52.26559139784947,3,1.9282258064516107
2001-01-01,32.23870967741936,1015.6,0.0,3.7566666666666664,16.666666666666668,0.3333333333333333,29.863333333333333,0.0,17.666666666666668,14.34086021505376,70.8225806451613,3,9.328333333333333
2001-02-01,27.445238095238096,1051.5333333333333,0.0,4.16,10.666666666666666,0.3333333333333333,133.36666666666667,0.0,24.0,11.63095238095238,59.779761904761905,3,1.3111781609195425
2001-03-01,32.253010752688176,1005.7333333333335,0.0,2.1166666666666667,12.0,0.0,84.62333333333333,0.0,20.333333333333332,14.139283154121864,62.752544802867384,3,2.1861129032258084
2001-04-01,39.934444444444445,751.9666666666666,0.0,1.3633333333333333,9.0,0.0,23.616666666666664,0.0,10.333333333333334,12.442222222222222,60.822222222222216,3,-0.15905555555555395
2001-05-01,46.00752688172043,588.7666666666668,0.0,2.6366666666666667,16.666666666666668,0.0,6.88,0.0,3.0,13.584946236559139,75.59569892473118,3,-3.6039784946236537
