observation_date,CEU6500000001
1990-01-01 00:00:00,10735
1990-02-01 00:00:00,10909
1990-03-01 00:00:00,10966
1990-04-01 00:00:00,10982
1990-05-01 00:00:00,10980
1990-06-01 00:00:00,10895
1990-07-01 00:00:00,10836
1990-08-01 00:00:00,10852
1990-09-01 00:00:00,11093
1990-10-01 00:00:00,11295
1990-11-01 00:00:00,11366
1990-12-01 00:00:00,11380
1991-01-01 00:00:00,11297
1991-02-01 00:00:00,11464
1991-03-01 00:00:00,11525
1991-04-01 00:00:00,11552
1991-05-01 00:00:00,11517
1991-06-01 00:00:00,11406
1991-07-01 00:00:00,11358
1991-08-01 00:00:00,11369
1991-09-01 00:00:00,11614
1991-10-01 00:00:00,11817
1991-11-01 00:00:00,11874
1991-12-01 00:00:00,11874
1992-01-01 00:00:00,11754
1992-02-01 00:00:00,11904
1992-03-01 00:00:00,11942
1992-04-01 00:00:00,11971
1992-05-01 00:00:00,11912
1992-06-01 00:00:00,11796
1992-07-01 00:00:00,11773
1992-08-01 00:00:00,11744
1992-09-01 00:00:00,11969
1992-10-01 00:00:00,12167
1992-11-01 00:00:00,12224
1992-12-01 00:00:00,12223
1993-01-01 00:00:00,12088
1993-02-01 00:00:00,12255
1993-03-01 00:00:00,12297
1993-04-01 00:00:00,12351
1993-05-01 00:00:00,12330
1993-06-01 00:00:00,12211
1993-07-01 00:00:00,12197
1993-08-01 00:00:00,12188
1993-09-01 00:00:00,12427
1993-10-01 00:00:00,12617
1993-11-01 00:00:00,12693
1993-12-01 00:00:00,12694
1994-01-01 00:00:00,12556
1994-02-01 00:00:00,12724
1994-03-01 00:00:00,12805
1994-04-01 00:00:00,12858
1994-05-01 00:00:00,12834
1994-06-01 00:00:00,12718
1994-07-01 00:00:00,12695
1994-08-01 00:00:00,12690
1994-09-01 00:00:00,12951
1994-10-01 00:00:00,13153
1994-11-01 00:00:00,13235
1994-12-01 00:00:00,13241
1995-01-01 00:00:00,13087
1995-02-01 00:00:00,13305
1995-03-01 00:00:00,13375
1995-04-01 00:00:00,13398
1995-05-01 00:00:00,13352
1995-06-01 00:00:00,13205
1995-07-01 00:00:00,13122
1995-08-01 00:00:00,13123
1995-09-01 00:00:00,13396
1995-10-01 00:00:00,13603
1995-11-01 00:00:00,13677
1995-12-01 00:00:00,13671
1996-01-01 00:00:00,13464
1996-02-01 00:00:00,13699
1996-03-01 00:00:00,13772
1996-04-01 00:00:00,13801
1996-05-01 00:00:00,13760
1996-06-01 00:00:00,13599
1996-07-01 00:00:00,13547
1996-08-01 00:00:00,13518
1996-09-01 00:00:00,13774
1996-10-01 00:00:00,14020
1996-11-01 00:00:00,14105
1996-12-01 00:00:00,14078
1997-01-01 00:00:00,13911
1997-02-01 00:00:00,14119
1997-03-01 00:00:00,14185
1997-04-01 00:00:00,14232
1997-05-01 00:00:00,14189
1997-06-01 00:00:00,14010
1997-07-01 00:00:00,13970
1997-08-01 00:00:00,13933
1997-09-01 00:00:00,14205
1997-10-01 00:00:00,14448
1997-11-01 00:00:00,14514
1997-12-01 00:00:00,14498
1998-01-01 00:00:00,14301
1998-02-01 00:00:00,14514
1998-03-01 00:00:00,14575
1998-04-01 00:00:00,14613
1998-05-01 00:00:00,14560
1998-06-01 00:00:00,14391
1998-07-01 00:00:00,14358
1998-08-01 00:00:00,14282
1998-09-01 00:00:00,14580
1998-10-01 00:00:00,14845
1998-11-01 00:00:00,14919
1998-12-01 00:00:00,14900
1999-01-01 00:00:00,14684
1999-02-01 00:00:00,14932
1999-03-01 00:00:00,14999
1999-04-01 00:00:00,15041
1999-05-01 00:00:00,14956
1999-06-01 00:00:00,14761
1999-07-01 00:00:00,14689
1999-08-01 00:00:00,14639
1999-09-01 00:00:00,14925
1999-10-01 00:00:00,15171
1999-11-01 00:00:00,15253
1999-12-01 00:00:00,15216
