observation_date,CEU7000000001
1990-01-01,8766
1990-02-01,8858
1990-03-01,9050
1990-04-01,9198
1990-05-01,9418
1990-06-01,9717
1990-07-01,9730
1990-08-01,9776
1990-09-01,9535
1990-10-01,9195
1990-11-01,9108
1990-12-01,9101
1991-01-01,8763
1991-02-01,8822
1991-03-01,8990
1991-04-01,9137
1991-05-01,9407
1991-06-01,9697
1991-07-01,9662
1991-08-01,9713
1991-09-01,9501
1991-10-01,9201
1991-11-01,9086
1991-12-01,9093
1992-01-01,8817
1992-02-01,8891
1992-03-01,9055
1992-04-01,9289
1992-05-01,9591
1992-06-01,9867
1992-07-01,9891
1992-08-01,9945
1992-09-01,9745
1992-10-01,9476
1992-11-01,9343
1992-12-01,9335
1993-01-01,9026
1993-02-01,9145
1993-03-01,9267
1993-04-01,9599
1993-05-01,9899
1993-06-01,10189
1993-07-01,10216
1993-08-01,10278
1993-09-01,10066
1993-10-01,9775
1993-11-01,9641
1993-12-01,9686
1994-01-01,9388
1994-02-01,9478
1994-03-01,9706
1994-04-01,9986
1994-05-01,10274
1994-06-01,10603
1994-07-01,10619
1994-08-01,10657
1994-09-01,10413
1994-10-01,10087
1994-11-01,9972
1994-12-01,10013
1995-01-01,9751
1995-02-01,9879
1995-03-01,10110
1995-04-01,10358
1995-05-01,10683
1995-06-01,11056
1995-07-01,11076
1995-08-01,11106
1995-09-01,10835
1995-10-01,10503
1995-11-01,10322
1995-12-01,10333
1996-01-01,9994
1996-02-01,10139
1996-03-01,10381
1996-04-01,10638
1996-05-01,10999
1996-06-01,11344
1996-07-01,11363
1996-08-01,11395
1996-09-01,11055
1996-10-01,10782
1996-11-01,10603
1996-12-01,10625
1997-01-01,10275
1997-02-01,10428
1997-03-01,10645
1997-04-01,10899
1997-05-01,11267
1997-06-01,11602
1997-07-01,11600
1997-08-01,11615
1997-09-01,11299
1997-10-01,10984
1997-11-01,10793
1997-12-01,10808
1998-01-01,10445
1998-02-01,10595
1998-03-01,10801
1998-04-01,11087
1998-05-01,11455
1998-06-01,11792
1998-07-01,11838
1998-08-01,11844
1998-09-01,11550
1998-10-01,11223
1998-11-01,11052
1998-12-01,11096
1999-01-01,10720
1999-02-01,10891
1999-03-01,11100
1999-04-01,11406
1999-05-01,11741
1999-06-01,12125
1999-07-01,12153
1999-08-01,12155
1999-09-01,11838
1999-10-01,11578
1999-11-01,11392
1999-12-01,11416
2000-01-01,11056
2000-02-01,11180
2000-03-01,11435
2000-04-01,11740
2000-05-01,12060
2000-06-01,12489
2000-07-01,12535
2000-08-01,12528
2000-09-01,12170
2000-10-01,11810
2000-11-01,11654
2000-12-01,11681
2001-01-01,11328
2001-02-01,11462
2001-03-01,11645
2001-04-01,11936
2001-05-01,12297
2001-06-01,12687
2001-07-01,12757
2001-08-01,12716
2001-09-01,12273
2001-10-01,11945
2001-11-01,11702
2001-12-01,11681
2002-01-01,11385
2002-02-01,11440
2002-03-01,11622
2002-04-01,11823
2002-05-01,12148
2002-06-01,12467
2002-07-01,12536
2002-08-01,12538
2002-09-01,12198
2002-10-01,12013
2002-11-01,11837
2002-12-01,11823
2003-01-01,11568
