observation_date,CES9000000001
1990-01-01,18151
1990-02-01,18177
1990-03-01,18294
1990-04-01,18377
1990-05-01,18599
1990-06-01,18556
1990-07-01,18560
1990-08-01,18457
1990-09-01,18437
1990-10-01,18443
1990-11-01,18450
1990-12-01,18468
1991-01-01,18474
1991-02-01,18482
1991-03-01,18488
1991-04-01,18485
1991-05-01,18498
1991-06-01,18561
1991-07-01,18598
1991-08-01,18567
1991-09-01,18543
1991-10-01,18593
1991-11-01,18627
1991-12-01,18641
1992-01-01,18688
1992-02-01,18689
1992-03-01,18715
1992-04-01,18739
1992-05-01,18753
1992-06-01,18762
1992-07-01,18817
1992-08-01,18883
1992-09-01,18829
1992-10-01,18828
1992-11-01,18841
1992-12-01,18878
1993-01-01,18901
1993-02-01,18902
1993-03-01,18907
1993-04-01,18938
1993-05-01,18951
1993-06-01,18969
1993-07-01,19060
1993-08-01,19028
1993-09-01,19041
1993-10-01,19042
1993-11-01,19068
1993-12-01,19109
1994-01-01,19147
1994-02-01,19150
1994-03-01,19190
1994-04-01,19223
1994-05-01,19264
1994-06-01,19274
1994-07-01,19301
1994-08-01,19306
1994-09-01,19337
1994-10-01,19344
1994-11-01,19367
1994-12-01,19388
1995-01-01,19397
1995-02-01,19407
1995-03-01,19427
1995-04-01,19434
1995-05-01,19418
1995-06-01,19445
1995-07-01,19437
1995-08-01,19429
1995-09-01,19430
1995-10-01,19464
1995-11-01,19463
1995-12-01,19466
1996-01-01,19450
1996-02-01,19485
1996-03-01,19532
1996-04-01,19515
1996-05-01,19529
1996-06-01,19528
1996-07-01,19547
1996-08-01,19504
1996-09-01,19567
1996-10-01,19554
1996-11-01,19565
1996-12-01,19571
1997-01-01,19593
1997-02-01,19598
1997-03-01,19608
1997-04-01,19603
1997-05-01,19601
1997-06-01,19660
1997-07-01,19686
1997-08-01,19617
1997-09-01,19679
1997-10-01,19738
1997-11-01,19761
1997-12-01,19766
1998-01-01,19770
1998-02-01,19786
1998-03-01,19792
1998-04-01,19816
1998-05-01,19875
1998-06-01,19879
1998-07-01,19930
1998-08-01,19959
1998-09-01,19985
1998-10-01,20001
1998-11-01,20044
1998-12-01,20079
1999-01-01,20084
1999-02-01,20144
1999-03-01,20168
1999-04-01,20237
1999-05-01,20229
1999-06-01,20272
1999-07-01,20339
1999-08-01,20375
1999-09-01,20404
1999-10-01,20457
1999-11-01,20496
1999-12-01,20540
2000-01-01,20571
2000-02-01,20599
2000-03-01,20733
2000-04-01,20802
2000-05-01,21147
2000-06-01,20887
2000-07-01,20867
2000-08-01,20837
2000-09-01,20735
2000-10-01,20743
2000-11-01,20760
2000-12-01,20804
2001-01-01,20835
2001-02-01,20906
2001-03-01,20945
2001-04-01,20992
2001-05-01,21029
2001-06-01,21137
2001-07-01,21185
2001-08-01,21218
2001-09-01,21242
2001-10-01,21275
2001-11-01,21326
2001-12-01,21355
2002-01-01,21377
2002-02-01,21390
2002-03-01,21431
2002-04-01,21443
2002-05-01,21514
2002-06-01,21549
2002-07-01,21544
2002-08-01,21589
2002-09-01,21546
2002-10-01,21559
2002-11-01,21581
2002-12-01,21588
2003-01-01,21626
2003-02-01,21624
2003-03-01,21610
2003-04-01,21595
2003-05-01,21567
2003-06-01,21606
2003-07-01,21633
2003-08-01,21556
2003-09-01,21504
2003-10-01,21558
2003-11-01,21535
2003-12-01,21546
2004-01-01,21538
2004-02-01,21550
2004-03-01,21588
2004-04-01,21614
2004-05-01,21614
2004-06-01,21601
2004-07-01,21606
2004-08-01,21626
2004-09-01,21635
2004-10-01,21656
2004-11-01,21692
2004-12-01,21693
2005-01-01,21735
2005-02-01,21744
2005-03-01,21740
2005-04-01,21754
2005-05-01,21781
2005-06-01,21763
2005-07-01,21857
2005-08-01,21863
2005-09-01,21845
2005-10-01,21829
2005-11-01,21859
2005-12-01,21879
2006-01-01,21847
2006-02-01,21878
2006-03-01,21903
2006-04-01,21919
2006-05-01,21926
2006-06-01,21922
2006-07-01,21973
2006-08-01,22011
2006-09-01,22082
2006-10-01,22068
2006-11-01,22083
2006-12-01,22088
2007-01-01,22095
2007-02-01,22131
2007-03-01,22149
2007-04-01,22175
2007-05-01,22193
2007-06-01,22207
2007-07-01,22171
2007-08-01,22226
2007-09-01,22279
2007-10-01,22297
2007-11-01,22334
2007-12-01,22376
2008-01-01,22388
2008-02-01,22417
2008-03-01,22443
2008-04-01,22450
2008-05-01,22483
2008-06-01,22517
2008-07-01,22568
2008-08-01,22567
2008-09-01,22537
2008-10-01,22549
2008-11-01,22560
2008-12-01,22556
2009-01-01,22579
2009-02-01,22576
2009-03-01,22560
2009-04-01,22677
2009-05-01,22617
2009-06-01,22576
2009-07-01,22521
2009-08-01,22537
2009-09-01,22451
2009-10-01,22524
2009-11-01,22533
2009-12-01,22482
2010-01-01,22491
2010-02-01,22476
2010-03-01,22518
2010-04-01,22569
2010-05-01,22996
2010-06-01,22740
2010-07-01,22569
2010-08-01,22420
2010-09-01,22247
2010-10-01,22297
2010-11-01,22287
2010-12-01,22266
2011-01-01,22258
2011-02-01,22215
2011-03-01,22192
2011-04-01,22184
2011-05-01,22129
2011-06-01,22164
2011-07-01,22049
2011-08-01,22017
2011-09-01,21983
2011-10-01,21998
2011-11-01,21971
2011-12-01,21954
2012-01-01,21946
2012-02-01,21947
2012-03-01,21943
2012-04-01,21931
2012-05-01,21911
2012-06-01,21930
2012-07-01,21913
2012-08-01,21916
2012-09-01,21925
2012-10-01,21903
2012-11-01,21883
2012-12-01,21887
2013-01-01,21869
2013-02-01,21881
2013-03-01,21870
2013-04-01,21869
2013-05-01,21864
2013-06-01,21840
2013-07-01,21815
2013-08-01,21831
2013-09-01,21835
2013-10-01,21830
2013-11-01,21843
2013-12-01,21820
2014-01-01,21814
2014-02-01,21825
2014-03-01,21833
2014-04-01,21853
2014-05-01,21832
2014-06-01,21895
2014-07-01,21901
2014-08-01,21855
2014-09-01,21897
2014-10-01,21917
2014-11-01,21932
2014-12-01,21947
2015-01-01,21960
2015-02-01,21978
2015-03-01,21970
2015-04-01,22005
2015-05-01,22012
2015-06-01,22015
2015-07-01,22050
2015-08-01,22060
2015-09-01,22040
2015-10-01,22056
2015-11-01,22081
2015-12-01,22097
2016-01-01,22114
2016-02-01,22138
2016-03-01,22178
2016-04-01,22184
2016-05-01,22199
2016-06-01,22180
2016-07-01,22289
2016-08-01,22284
2016-09-01,22323
2016-10-01,22295
2016-11-01,22277
2016-12-01,22304
2017-01-01,22316
2017-02-01,22326
2017-03-01,22329
2017-04-01,22335
2017-05-01,22347
2017-06-01,22360
