observation_date,CES6000000008
1990-01-01,10.94
1990-02-01,11.0
1990-03-01,11.02
1990-04-01,11.05
1990-05-01,11.11
1990-06-01,11.16
1990-07-01,11.16
1990-08-01,11.21
1990-09-01,11.23
1990-10-01,11.29
1990-11-01,11.31
1990-12-01,11.31
1991-01-01,11.33
1991-02-01,11.36
1991-03-01,11.42
1991-04-01,11.45
1991-05-01,11.51
1991-06-01,11.5
1991-07-01,11.56
1991-08-01,11.57
1991-09-01,11.56
1991-10-01,11.58
1991-11-01,11.65
1991-12-01,11.67
1992-01-01,11.7
1992-02-01,11.72
1992-03-01,11.7
1992-04-01,11.76
1992-05-01,11.77
1992-06-01,11.79
1992-07-01,11.81
1992-08-01,11.82
1992-09-01,11.86
1992-10-01,11.85
1992-11-01,11.81
1992-12-01,11.88
1993-01-01,11.91
1993-02-01,11.9
1993-03-01,11.93
1993-04-01,11.94
1993-05-01,11.93
1993-06-01,11.98
1993-07-01,11.98
1993-08-01,12.0
1993-09-01,12.06
1993-10-01,12.08
1993-11-01,12.05
1993-12-01,12.07
1994-01-01,12.03
1994-02-01,12.11
1994-03-01,12.1
1994-04-01,12.11
1994-05-01,12.11
1994-06-01,12.13
1994-07-01,12.19
1994-08-01,12.2
1994-09-01,12.21
1994-10-01,12.23
1994-11-01,12.27
1994-12-01,12.3
1995-01-01,12.29
1995-02-01,12.38
1995-03-01,12.41
1995-04-01,12.43
1995-05-01,12.51
1995-06-01,12.53
1995-07-01,12.57
1995-08-01,12.59
1995-09-01,12.63
1995-10-01,12.62
1995-11-01,12.7
1995-12-01,12.76
1996-01-01,12.8
1996-02-01,12.81
1996-03-01,12.86
1996-04-01,12.9
1996-05-01,12.92
1996-06-01,12.96
1996-07-01,13.01
1996-08-01,13.06
1996-09-01,13.1
1996-10-01,13.16
1996-11-01,13.25
1996-12-01,13.26
1997-01-01,13.34
1997-02-01,13.35
1997-03-01,13.38
1997-04-01,13.42
1997-05-01,13.49
1997-06-01,13.51
1997-07-01,13.55
1997-08-01,13.63
1997-09-01,13.66
1997-10-01,13.77
1997-11-01,13.82
1997-12-01,13.9
1998-01-01,13.93
1998-02-01,13.98
1998-03-01,14.06
1998-04-01,14.17
1998-05-01,14.22
1998-06-01,14.28
1998-07-01,14.34
1998-08-01,14.32
1998-09-01,14.49
1998-10-01,14.47
1998-11-01,14.48
1998-12-01,14.54
1999-01-01,14.67
1999-02-01,14.66
1999-03-01,14.73
1999-04-01,14.76
1999-05-01,14.78
1999-06-01,14.86
1999-07-01,14.91
1999-08-01,14.9
1999-09-01,15.05
1999-10-01,15.06
1999-11-01,15.07
1999-12-01,15.12
2000-01-01,15.16
2000-02-01,15.24
2000-03-01,15.29
2000-04-01,15.29
2000-05-01,15.42
2000-06-01,15.49
2000-07-01,15.54
2000-08-01,15.61
2000-09-01,15.69
2000-10-01,15.69
2000-11-01,15.83
2000-12-01,15.94
2001-01-01,15.98
2001-02-01,16.09
2001-03-01,16.18
2001-04-01,16.23
2001-05-01,16.28
2001-06-01,16.34
2001-07-01,16.37
2001-08-01,16.44
2001-09-01,16.46
2001-10-01,16.51
2001-11-01,16.57
2001-12-01,16.57
2002-01-01,16.67
2002-02-01,16.66
2002-03-01,16.65
2002-04-01,16.67
2002-05-01,16.67
2002-06-01,16.78
2002-07-01,16.9
2002-08-01,16.87
2002-09-01,16.88
2002-10-01,16.99
2002-11-01,17.04
2002-12-01,17.08
2003-01-01,17.01
2003-02-01,17.14
2003-03-01,17.15
2003-04-01,17.21
2003-05-01,17.22
2003-06-01,17.18
2003-07-01,17.22
2003-08-01,17.21
2003-09-01,17.24
2003-10-01,17.27
2003-11-01,17.31
2003-12-01,17.29
2004-01-01,17.29
2004-02-01,17.26
2004-03-01,17.31
2004-04-01,17.33
2004-05-01,17.4
2004-06-01,17.47
2004-07-01,17.49
2004-08-01,17.59
2004-09-01,17.62
2004-10-01,17.68
2004-11-01,17.7
2004-12-01,17.75
2005-01-01,17.83
2005-02-01,17.86
2005-03-01,17.88
2005-04-01,17.93
2005-05-01,17.98
2005-06-01,18.05
2005-07-01,18.12
2005-08-01,18.15
2005-09-01,18.17
2005-10-01,18.33
2005-11-01,18.33
2005-12-01,18.43
2006-01-01,18.58
2006-02-01,18.66
2006-03-01,18.81
2006-04-01,19.02
2006-05-01,18.98
2006-06-01,19.04
2006-07-01,19.19
2006-08-01,19.19
2006-09-01,19.32
2006-10-01,19.44
2006-11-01,19.52
2006-12-01,19.65
2007-01-01,19.69
2007-02-01,19.81
2007-03-01,19.85
2007-04-01,19.93
2007-05-01,20.06
2007-06-01,20.16
2007-07-01,20.23
2007-08-01,20.27
2007-09-01,20.38
2007-10-01,20.39
2007-11-01,20.44
2007-12-01,20.49
2008-01-01,20.58
2008-02-01,20.67
2008-03-01,20.77
2008-04-01,20.91
2008-05-01,20.98
2008-06-01,21.08
2008-07-01,21.19
2008-08-01,21.35
2008-09-01,21.43
2008-10-01,21.58
2008-11-01,21.8
2008-12-01,21.94
