observation_date,CES5500000008
2014-02-01,24.42
2014-03-01,24.57
2014-04-01,24.53
2014-05-01,24.62
2014-06-01,24.65
2014-07-01,24.71
2014-08-01,24.83
2014-09-01,24.84
2014-10-01,24.89
2014-11-01,24.99
2014-12-01,25.0
2015-01-01,25.08
2015-02-01,25.14
2015-03-01,25.15
2015-04-01,25.15
2015-05-01,25.26
2015-06-01,25.32
2015-07-01,25.37
2015-08-01,25.38
2015-09-01,25.44
2015-10-01,25.51
2015-11-01,25.53
2015-12-01,25.61
2016-01-01,25.9
2016-02-01,25.96
2016-03-01,26.03
2016-04-01,26.1
2016-05-01,26.01
2016-06-01,26.12
2016-07-01,26.15
2016-08-01,26.25
2016-09-01,26.3
2016-10-01,26.27
2016-11-01,26.28
2016-12-01,26.32
2017-01-01,26.37
2017-02-01,26.34
2017-03-01,26.41
2017-04-01,26.48
2017-05-01,26.49
2017-06-01,26.56
2017-07-01,26.65
2017-08-01,26.64
2017-09-01,26.7
2017-10-01,26.72
2017-11-01,26.6
2017-12-01,26.81
