observation_date,CES2000000008
1990-01-01,13.32
1990-02-01,13.35
1990-03-01,13.37
1990-04-01,13.36
1990-05-01,13.39
1990-06-01,13.41
1990-07-01,13.42
1990-08-01,13.39
1990-09-01,13.47
1990-10-01,13.48
1990-11-01,13.51
1990-12-01,13.52
1991-01-01,13.68
1991-02-01,13.63
1991-03-01,13.59
1991-04-01,13.69
1991-05-01,13.63
1991-06-01,13.62
1991-07-01,13.63
1991-08-01,13.63
1991-09-01,13.65
1991-10-01,13.65
1991-11-01,13.66
1991-12-01,13.73
1992-01-01,13.74
1992-02-01,13.67
1992-03-01,13.76
1992-04-01,13.77
1992-05-01,13.77
1992-06-01,13.88
1992-07-01,13.78
1992-08-01,13.84
1992-09-01,13.75
1992-10-01,13.85
1992-11-01,13.88
1992-12-01,13.9
1993-01-01,13.9
1993-02-01,13.91
1993-03-01,13.99
1993-04-01,13.99
1993-05-01,14.02
1993-06-01,14.02
1993-07-01,14.05
1993-08-01,14.06
1993-09-01,14.03
1993-10-01,14.08
1993-11-01,14.11
1993-12-01,14.13
1994-01-01,14.16
1994-02-01,14.26
1994-03-01,14.2
1994-04-01,14.25
1994-05-01,14.3
1994-06-01,14.31
1994-07-01,14.38
1994-08-01,14.39
1994-09-01,14.46
1994-10-01,14.55
1994-11-01,14.51
1994-12-01,14.5
1995-01-01,14.44
1995-02-01,14.59
1995-03-01,14.62
1995-04-01,14.67
1995-05-01,14.69
1995-06-01,14.74
1995-07-01,14.75
1995-08-01,14.76
1995-09-01,14.8
1995-10-01,14.81
1995-11-01,14.86
1995-12-01,14.77
1996-01-01,15.0
1996-02-01,14.91
1996-03-01,14.93
1996-04-01,14.98
1996-05-01,15.01
1996-06-01,15.07
1996-07-01,15.12
1996-08-01,15.16
1996-09-01,15.22
1996-10-01,15.23
1996-11-01,15.25
1996-12-01,15.29
1997-01-01,15.46
1997-02-01,15.49
1997-03-01,15.46
1997-04-01,15.52
1997-05-01,15.58
1997-06-01,15.62
1997-07-01,15.62
1997-08-01,15.7
1997-09-01,15.76
1997-10-01,15.82
1997-11-01,15.87
1997-12-01,15.96
1998-01-01,15.98
1998-02-01,16.01
1998-03-01,16.06
1998-04-01,16.09
1998-05-01,16.12
1998-06-01,16.17
1998-07-01,16.26
1998-08-01,16.31
1998-09-01,16.25
1998-10-01,16.39
1998-11-01,16.42
1998-12-01,16.47
1999-01-01,16.48
1999-02-01,16.48
1999-03-01,16.56
1999-04-01,16.6
1999-05-01,16.74
1999-06-01,16.81
1999-07-01,16.84
1999-08-01,16.83
1999-09-01,16.91
1999-10-01,16.99
1999-11-01,16.99
1999-12-01,17.06
2000-01-01,17.11
2000-02-01,17.2
2000-03-01,17.28
2000-04-01,17.39
2000-05-01,17.38
2000-06-01,17.39
2000-07-01,17.48
2000-08-01,17.55
2000-09-01,17.62
2000-10-01,17.67
2000-11-01,17.78
2000-12-01,17.77
2001-01-01,17.86
2001-02-01,17.86
2001-03-01,17.93
2001-04-01,17.82
2001-05-01,17.92
2001-06-01,17.99
2001-07-01,17.97
2001-08-01,18.05
2001-09-01,18.02
2001-10-01,18.07
2001-11-01,18.14
2001-12-01,18.22
2002-01-01,18.26
2002-02-01,18.29
2002-03-01,18.36
2002-04-01,18.41
2002-05-01,18.41
2002-06-01,18.46
2002-07-01,18.57
2002-08-01,18.57
2002-09-01,18.64
2002-10-01,18.65
2002-11-01,18.69
2002-12-01,18.86
2003-01-01,18.77
2003-02-01,18.83
2003-03-01,18.85
2003-04-01,18.9
2003-05-01,18.95
2003-06-01,18.98
2003-07-01,18.95
2003-08-01,19.0
2003-09-01,19.03
2003-10-01,19.0
2003-11-01,19.02
2003-12-01,19.03
2004-01-01,19.1
2004-02-01,19.19
2004-03-01,19.18
2004-04-01,19.2
2004-05-01,19.22
2004-06-01,19.19
2004-07-01,19.2
2004-08-01,19.22
2004-09-01,19.24
2004-10-01,19.29
2004-11-01,19.29
2004-12-01,19.25
2005-01-01,19.22
2005-02-01,19.31
2005-03-01,19.37
2005-04-01,19.39
2005-05-01,19.36
2005-06-01,19.42
2005-07-01,19.5
2005-08-01,19.49
2005-09-01,19.51
2005-10-01,19.56
2005-11-01,19.54
2005-12-01,19.61
2006-01-01,19.62
2006-02-01,19.65
2006-03-01,19.66
2006-04-01,19.7
2006-05-01,19.86
2006-06-01,20.04
2006-07-01,20.07
2006-08-01,20.13
2006-09-01,20.19
2006-10-01,20.27
2006-11-01,20.38
2006-12-01,20.45
2007-01-01,20.56
2007-02-01,20.59
2007-03-01,20.68
2007-04-01,20.78
2007-05-01,20.91
2007-06-01,20.95
2007-07-01,20.98
2007-08-01,21.0
2007-09-01,21.07
2007-10-01,21.1
2007-11-01,21.2
2007-12-01,21.31
2008-01-01,21.37
2008-02-01,21.48
2008-03-01,21.56
2008-04-01,21.65
2008-05-01,21.74
2008-06-01,21.82
2008-07-01,21.88
2008-08-01,22.03
2008-09-01,22.11
2008-10-01,22.14
2008-11-01,22.31
2008-12-01,22.47
