observation_date,CES3000000008
1990-01-01,10.52
1990-02-01,10.64
1990-03-01,10.7
1990-04-01,10.68
1990-05-01,10.74
1990-06-01,10.78
1990-07-01,10.81
1990-08-01,10.8
1990-09-01,10.86
1990-10-01,10.92
1990-11-01,10.89
1990-12-01,10.93
1991-01-01,10.97
1991-02-01,10.97
1991-03-01,11.0
1991-04-01,11.05
1991-05-01,11.09
1991-06-01,11.13
1991-07-01,11.17
1991-08-01,11.18
1991-09-01,11.21
1991-10-01,11.25
1991-11-01,11.26
1991-12-01,11.27
1992-01-01,11.24
1992-02-01,11.3
1992-03-01,11.32
1992-04-01,11.36
1992-05-01,11.39
1992-06-01,11.41
1992-07-01,11.43
1992-08-01,11.46
1992-09-01,11.45
1992-10-01,11.47
1992-11-01,11.49
1992-12-01,11.51
1993-01-01,11.55
1993-02-01,11.57
1993-03-01,11.58
1993-04-01,11.63
1993-05-01,11.65
1993-06-01,11.68
1993-07-01,11.69
1993-08-01,11.72
1993-09-01,11.76
1993-10-01,11.79
1993-11-01,11.83
1993-12-01,11.88
1994-01-01,11.9
1994-02-01,11.97
1994-03-01,11.95
1994-04-01,11.96
1994-05-01,11.98
1994-06-01,12.0
1994-07-01,12.03
1994-08-01,12.06
1994-09-01,12.09
1994-10-01,12.11
1994-11-01,12.15
1994-12-01,12.17
1995-01-01,12.2
1995-02-01,12.24
1995-03-01,12.24
1995-04-01,12.24
1995-05-01,12.28
1995-06-01,12.31
1995-07-01,12.39
1995-08-01,12.4
1995-09-01,12.41
1995-10-01,12.43
1995-11-01,12.45
1995-12-01,12.49
1996-01-01,12.6
1996-02-01,12.56
1996-03-01,12.5
1996-04-01,12.69
1996-05-01,12.71
1996-06-01,12.75
1996-07-01,12.8
1996-08-01,12.82
1996-09-01,12.85
1996-10-01,12.83
1996-11-01,12.88
1996-12-01,12.95
1997-01-01,12.99
1997-02-01,13.0
1997-03-01,13.03
1997-04-01,13.03
1997-05-01,13.07
1997-06-01,13.08
1997-07-01,13.1
1997-08-01,13.17
1997-09-01,13.17
1997-10-01,13.29
1997-11-01,13.32
1997-12-01,13.36
1998-01-01,13.34
1998-02-01,13.39
1998-03-01,13.43
1998-04-01,13.4
1998-05-01,13.45
1998-06-01,13.42
1998-07-01,13.34
1998-08-01,13.46
1998-09-01,13.52
1998-10-01,13.53
1998-11-01,13.54
1998-12-01,13.56
1999-01-01,13.59
1999-02-01,13.63
1999-03-01,13.69
1999-04-01,13.74
1999-05-01,13.8
1999-06-01,13.86
1999-07-01,13.91
1999-08-01,13.94
1999-09-01,13.99
1999-10-01,13.99
1999-11-01,14.01
1999-12-01,14.06
2000-01-01,14.12
2000-02-01,14.14
2000-03-01,14.17
2000-04-01,14.23
2000-05-01,14.22
2000-06-01,14.3
2000-07-01,14.33
2000-08-01,14.36
2000-09-01,14.4
2000-10-01,14.48
2000-11-01,14.52
2000-12-01,14.5
2001-01-01,14.48
2001-02-01,14.55
2001-03-01,14.59
2001-04-01,14.63
2001-05-01,14.69
2001-06-01,14.74
2001-07-01,14.82
2001-08-01,14.85
2001-09-01,14.89
2001-10-01,14.9
2001-11-01,14.96
2001-12-01,15.01
2002-01-01,15.05
2002-02-01,15.11
2002-03-01,15.15
2002-04-01,15.17
2002-05-01,15.24
